word,noun,verb,adverb,adjective,other,frequency
chunk,1,0,0,0,0,2.730468
clack,1,0,0,0,0,0.482298
clad,0,0,0,1,0,6.257750
clam,1,0,0,0,0,1.764915
clamp,1,1,0,0,0,4.988139
clan,1,0,0,0,0,13.547046
clang,1,0,0,0,0,0.765162
clank,1,1,0,0,0,0.330172
clap,1,1,0,0,0,2.244129
clash,1,0,0,0,0,7.979179
clasp,1,1,0,0,0,2.305896
clef,1,0,0,0,0,0.568835
cleft,1,0,0,1,0,6.641143
clem,1,0,0,0,0,1.263123
click,1,1,0,0,0,46.139544
clift,1,0,0,0,0,0.404036
cling,0,1,0,0,0,4.694282
clink,1,1,0,0,0,0.580528
clint,1,0,0,0,0,1.431100
clip,1,0,0,0,0,7.900070
clips,1,0,0,0,0,4.294184
clock,1,0,0,0,0,27.312748
clog,1,1,0,0,0,0.874416
clot,1,0,0,0,0,3.616080
club,1,0,0,0,0,58.512769
cluck,1,1,0,0,0,0.305426
clump,1,0,0,0,0,2.201941
clung,0,1,0,0,0,6.353229
clunk,1,0,0,0,0,0.192030
cob,1,0,0,0,0,1.162555
cock,1,0,0,0,0,7.171083
cod,1,0,0,0,0,6.684706
con,1,0,0,0,0,27.331519
conk,1,1,0,0,0,0.094057
cop,1,0,0,0,0,7.229347
cost,1,0,0,0,0,229.473042
cot,1,0,0,0,0,3.610377
cox,1,0,0,0,0,9.420511
coz,1,0,0,0,0,0.268226
crab,1,0,0,0,0,4.909302
crack,1,1,0,0,0,22.990298
craft,1,0,0,0,0,22.535916
cram,0,1,0,0,0,1.132441
cramp,1,1,0,0,0,1.198287
crank,1,0,0,0,0,3.089146
crap,1,0,0,0,0,2.736030
craps,1,0,0,0,0,0.339487
crash,1,0,0,0,0,12.628880
crept,0,1,0,0,0,6.770831
crest,1,0,0,0,0,10.651042
crib,1,0,0,0,0,2.518656
crick,1,0,0,0,0,1.298226
crimp,1,1,0,0,0,0.585547
cris,1,0,0,0,0,0.393182
crisp,1,0,0,1,0,5.836310
croc,1,0,0,0,0,0.158645
crock,1,0,0,0,0,0.612523
crom,1,0,0,0,0,0.195939
cronk,0,1,0,0,0,0.086871
crop,1,0,0,0,0,34.227112
crum,1,0,0,0,0,0.343559
crump,0,1,0,0,0,0.614076
crunk,1,0,0,0,0,0.012237
crush,1,1,0,0,0,6.769502
crust,1,0,0,0,0,9.032542
crux,1,0,0,0,0,2.320697
cub,1,0,0,0,0,1.752298
cult,1,0,0,0,0,17.100550
cum,1,0,0,0,0,7.869404
cup,1,0,0,0,0,41.998667
cush,1,0,0,0,0,0.228897
cusk,1,0,0,0,0,0.020550
cusp,1,0,0,0,0,1.958305
cut,1,1,0,0,0,161.441967
dab,1,0,0,0,0,2.842045
dad,1,0,0,0,0,31.634638
daft,0,0,0,1,0,0.734604
dag,1,0,0,0,0,1.406470
dak,1,0,0,0,0,0.604427
dal,1,0,0,0,0,3.398254
dam,1,0,0,0,0,15.886071
damp,0,0,0,1,0,10.939025
dan,1,0,0,0,0,21.003083
dang,1,1,0,0,0,1.020731
dank,0,0,0,1,0,1.037637
das,1,0,0,0,0,31.528787
dash,1,1,0,0,0,7.031062
deb,1,0,0,0,0,1.586971
deck,1,0,0,0,0,25.349983
deft,0,0,0,1,0,1.314752
del,1,0,0,0,0,46.398361
delft,1,0,0,0,0,1.319654
den,1,0,0,0,0,33.109402
dent,1,0,0,0,0,8.473085
depth,1,0,0,0,0,66.452122
desk,1,0,0,0,0,37.035748
dev,1,0,0,0,0,6.307661
dick,1,0,0,0,0,17.419813
did,0,1,0,0,0,349.914347
dig,1,1,0,0,0,11.722041
dim,0,0,0,1,0,12.975391
din,1,0,0,0,0,8.817289
ding,0,1,0,0,0,2.084124
dink,1,0,0,0,0,0.275156
dint,1,0,0,0,0,1.024126
dip,1,1,0,0,0,8.491444
dis,1,0,0,0,0,19.489300
disc,1,0,0,0,0,17.777388
dish,1,0,0,0,0,14.510593
disk,1,0,0,0,0,29.410080
dob,1,0,0,0,0,0.303499
doc,1,0,0,0,0,12.746517
dock,1,0,0,0,0,9.742471
dol,1,0,0,0,0,0.738831
dom,1,0,0,0,0,5.062345
don,1,0,0,0,0,38.413876
dot,1,0,0,0,0,10.560146
drab,0,0,0,1,0,2.180210
draft,1,0,0,0,0,33.612212
drag,1,1,0,0,0,19.323158
dram,1,0,0,0,0,1.162019
drang,1,0,0,0,0,0.396865
drank,0,1,0,0,0,14.554639
drift,1,1,0,0,0,16.219328
drink,1,1,0,0,0,60.413728
drip,1,1,0,0,0,3.126890
drop,1,1,0,0,0,60.354191
drub,0,1,0,0,0,0.026906
drug,1,0,0,0,0,113.788641
drum,1,0,0,0,0,14.832895
drunk,1,0,0,1,0,19.662381
dub,0,1,0,0,0,1.015021
duck,1,0,0,0,0,8.917748
duct,1,0,0,0,0,13.498183
dud,1,0,0,0,0,0.443870
dug,1,0,0,0,0,12.153061
dum,1,0,0,0,0,1.205932
dump,1,1,0,0,0,5.798760
dun,1,0,0,0,0,2.475908
dung,1,0,0,0,0,3.236572
dunk,1,1,0,0,0,0.439589
dunst,1,0,1,0,0,0.090996
dush,1,0,0,0,0,0.017139
dusk,1,0,0,0,0,6.575661
dust,1,0,0,0,0,38.761739
dux,1,0,0,0,0,0.321827
dwelt,0,1,0,0,0,4.079063
ed,1,0,0,0,0,237.586494
el,1,0,0,0,0,78.388415
elf,1,0,0,0,0,1.871551
elk,1,0,0,0,0,4.100344
elm,1,0,0,0,0,2.928434
em,1,0,0,0,0,26.015905
empt,1,1,0,1,0,0.301044
en,1,0,0,0,0,96.103810
end,1,0,0,0,0,506.181110
es,1,0,0,0,0,25.309853
ex,1,0,0,0,0,42.107541
fact,1,0,0,0,0,448.205919
fad,1,0,0,0,0,2.190605
fag,1,0,0,0,0,0.731683
fan,1,0,0,0,0,18.012330
fang,1,0,0,0,0,2.632518
fant,1,0,0,0,0,0.258413
fast,1,0,1,1,0,88.125074
fat,1,0,0,1,0,58.165598
feck,1,1,0,0,0,0.037022
fed,1,0,0,0,0,38.533541
felt,0,1,0,0,0,263.791158
fen,1,0,0,0,0,1.583956
fend,0,1,0,0,0,1.788612
fent,0,1,0,0,0,0.159026
fest,1,0,0,1,0,0.687428
fez,1,0,0,0,0,0.892356
fifth,1,0,0,1,0,53.337836
fig,1,0,0,0,0,328.885672
filch,0,1,0,0,0,0.101967
film,1,0,0,0,0,121.609089
filth,1,0,0,0,0,2.757249
fin,1,0,0,0,0,9.594089
fink,1,0,0,0,0,2.148075
fisc,1,0,0,0,0,0.135391
fish,1,0,0,0,0,95.333754
fist,1,0,0,0,0,9.083720
fit,1,1,0,0,0,79.978532
fix,1,1,0,0,0,20.943444
flack,1,0,0,0,0,0.400688
flag,1,0,0,0,0,24.657893
flak,1,0,0,0,0,1.099148
flam,1,0,0,0,0,0.226713
flan,1,0,0,0,0,0.293143
flank,1,0,0,0,0,7.630143
flap,1,0,0,0,0,10.434887
flash,1,0,0,0,0,21.262156
flask,1,0,0,0,0,5.855485
flat,0,0,0,1,0,63.000616
flax,1,0,0,0,0,2.745968
fleck,1,0,0,0,0,0.581072
fled,0,1,0,0,0,19.032649
flesh,1,0,0,0,0,36.088905
flex,1,1,0,0,0,2.355963
flick,1,1,0,0,0,1.809465
fling,1,1,0,0,0,2.191390
flint,1,0,0,0,0,6.985432
flip,1,1,0,1,0,7.332657
flit,1,1,0,0,0,0.630377
floc,1,0,0,0,0,0.303725
flock,1,0,0,0,0,8.084829
flog,0,1,0,0,0,0.368219
flop,1,0,0,0,0,2.989463
flung,0,1,0,0,0,9.077737
flunk,0,1,0,0,0,0.211951
flush,1,1,0,1,0,7.917295
flux,1,0,0,0,0,22.241134
fog,1,0,0,0,0,11.152235
font,1,0,0,0,0,7.853096
fox,1,0,0,0,0,23.687819
fram,1,0,0,0,0,0.398411
frank,1,0,0,0,0,57.868135
frap,0,1,0,0,0,0.128670
freck,1,0,0,0,0,0.010248
fred,1,0,0,0,0,18.534019
fremd,1,0,0,0,0,0.057494
fresh,0,0,0,1,0,70.788161
fret,1,1,0,0,0,1.928999
frisk,1,1,0,0,0,0.297424
frist,1,0,0,0,0,0.138320
frith,1,0,0,0,0,0.856609
frock,1,0,0,0,0,1.622858
frog,1,0,0,0,0,7.472508
frond,1,0,0,0,0,0.464359
frump,1,0,0,0,0,0.061830
frush,1,0,0,0,0,0.021902
fulk,1,0,0,0,0,0.273649
fun,1,0,0,0,0,39.304274
fund,1,0,0,0,0,51.012229
funk,1,0,0,0,0,2.151198
fust,1,0,0,0,0,0.578772
gab,1,0,0,0,0,0.741954
gad,1,0,0,0,0,1.563662
gag,1,0,0,0,0,2.765283
gal,1,0,0,0,0,6.202159
gamp,1,0,0,0,0,0.143417
gan,1,0,0,0,0,2.200682
gang,1,0,0,0,0,15.969881
gant,1,0,0,0,0,0.494193
gap,1,0,0,0,0,42.715550
gas,1,0,0,0,0,113.459013
gash,1,0,0,0,0,1.060355
gasp,1,1,0,0,0,2.717663
gast,1,0,0,0,0,0.213878
gat,1,0,0,0,0,0.627230
ged,1,0,0,0,0,0.679892
get,0,1,0,0,0,573.028605
gib,1,0,0,0,0,0.406313
gift,1,0,0,0,0,46.316984
gig,1,0,0,0,0,1.623604
gil,1,0,0,0,0,3.258124
gild,1,1,0,0,0,0.553521
gilt,1,0,0,1,0,3.188416
glad,0,0,0,1,0,41.924935
gland,1,0,0,0,0,18.593829
glen,1,0,0,0,0,5.526463
glib,0,0,0,1,0,0.804833
glint,1,0,0,0,0,1.323725
glop,1,0,0,0,0,0.053353
gluck,1,0,0,0,0,0.815360
glum,0,0,0,1,0,0.732670
glut,1,0,0,0,0,0.990446
gob,1,0,0,0,0,0.382826
god,1,0,0,0,0,470.702552
golf,1,0,0,0,0,13.139451
gond,1,0,0,0,0,0.317018
gosh,1,0,0,0,0,1.146511
got,0,1,0,0,0,307.983873
goth,1,0,0,0,0,0.550460
grab,1,1,0,0,0,9.025487
grad,1,0,0,0,0,1.400581
graft,1,0,0,0,0,12.517714
gram,1,0,0,0,0,13.316121
grand,1,0,0,1,0,61.818023
grant,1,1,0,0,0,61.658360
grasp,1,1,0,0,0,22.287999
greg,1,0,0,0,0,5.631499
grid,1,0,0,0,0,21.782315
grim,0,0,0,1,0,9.444604
grin,1,0,0,0,0,8.958654
grip,1,0,0,0,0,14.547817
grist,1,0,0,0,0,1.073610
grit,1,0,0,0,0,2.909608
grits,1,0,0,0,0,0.944707
grog,1,0,0,0,0,0.685595
grub,1,0,0,0,0,1.591415
grum,1,0,0,1,0,0.044434
grump,1,0,0,0,0,0.046213
grun,1,0,0,0,0,0.129960
grunt,1,0,0,0,0,1.631055
grush,1,0,0,0,0,0.015858
gul,1,0,0,0,0,0.436963
gulch,1,0,0,0,0,1.001191
gulf,1,0,0,0,0,26.785037
gulp,1,1,0,0,0,1.513627
gum,1,0,0,0,0,7.504495
gump,1,0,0,0,0,0.253604
gun,1,0,0,0,0,45.919971
gus,1,0,0,0,0,3.176949
gush,1,1,0,0,0,1.063137
gust,1,0,0,0,0,1.917197
gut,1,0,0,0,0,10.564490
gwen,1,0,0,0,0,2.105382
hack,1,1,0,0,0,3.409202
had,0,1,0,0,0,1360.047907
haft,1,0,0,0,0,0.462447
hag,1,0,0,0,0,1.325776
hal,1,0,0,0,0,5.916553
ham,1,0,0,0,0,7.579517
hand,1,0,0,0,0,469.652942
hank,1,0,0,0,0,4.529623
hap,1,0,0,0,0,1.266674
hash,1,0,0,0,0,3.316784
hat,1,0,0,0,0,34.599814
hath,1,1,0,0,0,12.334471
heck,1,0,0,0,0,2.140601
heft,1,0,0,0,0,1.101720
helm,1,0,0,0,0,5.022123
help,1,1,0,0,0,380.971861
hem,1,0,0,0,0,3.566891
hemp,1,0,0,0,0,2.361207
hen,1,0,0,0,0,6.845744
hep,0,0,0,1,0,0.792588
hex,1,0,0,0,0,1.396673
hick,1,0,0,0,0,0.795976
hilt,1,0,0,0,0,1.642313
him,0,0,0,0,0,1795.953083
hing,1,1,0,0,0,0.350147
hint,1,0,0,0,0,14.982955
hip,1,0,0,0,0,17.849947
hit,1,1,0,0,0,64.370259
hob,1,0,0,0,0,0.597931
hock,1,0,0,0,0,0.905953
hog,1,0,0,0,0,3.761975
hon,1,0,0,0,0,15.136379
hop,1,1,0,0,0,6.125933
hot,0,0,0,1,0,95.223878
hub,1,0,0,0,0,5.312453
huck,1,0,0,0,0,1.183105
hud,1,0,0,0,0,1.859540
hug,1,1,0,0,0,5.547440
hulk,1,0,0,0,0,0.903023
hum,1,0,0,0,0,8.426111
hump,1,0,0,0,0,2.012754
hun,1,0,0,0,0,1.931353
hung,0,0,0,1,0,35.480710
hunk,1,0,0,0,0,0.704482
hunks,1,0,0,0,0,0.256952
hunt,1,1,0,0,0,24.921721
hush,1,1,0,0,0,3.958481
husk,1,0,0,0,0,1.111852
hut,1,0,0,0,0,16.078350
ich,0,0,0,0,0,6.896362
id,1,0,0,0,0,30.523354
if,0,0,0,0,0,498.556709
ilk,1,0,0,0,0,0.728886
imp,1,0,0,0,0,2.393427
ing,1,1,0,0,0,21.634392
ink,1,0,0,0,0,13.676213
inks,1,0,0,0,0,1.369938
it,0,0,0,0,0,9208.267683
its,0,0,0,0,0,8.999965
jab,1,1,0,0,0,0.820721
jack,1,0,0,0,0,55.325938
jam,1,0,0,0,0,6.094241
jan,1,0,0,0,0,17.467681
jank,1,0,0,0,0,0.019354
jap,1,0,0,0,0,2.103595
jed,1,0,0,0,0,1.346047
jem,1,0,0,0,0,0.817489
jest,1,0,0,0,0,3.546784
jet,1,0,0,0,0,16.063402
jib,1,0,0,0,0,0.842748
jig,1,0,0,0,0,2.331707
jilt,1,1,0,0,0,0.084765
jim,1,0,0,0,0,32.631082
jin,1,0,0,0,0,2.430674
jing,1,1,0,0,0,0.818593
jinks,1,0,0,0,0,0.307734
job,1,0,0,0,0,191.095458
jock,1,0,0,0,0,1.699830
jog,1,1,0,0,0,1.416788
jon,1,0,0,0,0,5.826202
josh,0,1,0,0,0,5.349824
jot,1,1,0,0,0,1.454315
jug,1,0,0,0,0,3.512676
jump,1,1,0,0,0,21.968767
jun,1,0,0,0,0,3.923518
junk,1,0,0,0,0,5.122364
just,0,0,1,0,0,832.863544
jut,1,1,0,0,0,0.385040
kan,1,0,0,0,0,2.728121
